"Tel","icon__align","icon__height","icon__url","icon__width","id","info","pos__lat","pos__lng","title"
"03.85.48.81.36","1","16","depot2.png","16","d1","Port Fluvial Sud 71380 EPERVANS","46.75983","4.87638","Dépôt d'Epervans"
"03.80.25.06.76","1","16","depot2.png","16","d2","ZI de Vignolles 21200 BEAUNE","47.02283","4.8635","Dépôt Grandes Cultures de Beaune"
"03.80.25.05.27","1","16","depot2.png","16","d3","41 Route de Seurre 21200 BEAUNE","47.01936","4.85654","Magasin Vigne Beaune"
"03.85.43.10.32","1","16","depot2.png","16","d4","Rue des Frres Lumire 71100 CHALON-SUR-SAONE","46.80235","4.87002","Dépôt de Chalon-sur-Sane"
"03.85.92.55.10","1","16","depot2.png","16","d5","Rue des Tanneries 71460 SAINT-GENGOUX-LE-NATIONAL","46.61168","4.66262","Dépôt de Saint-Gengoux-le-National"
"03.85.92.14.56","1","16","depot2.png","16","d6","Le Champ Fleuri - Rte de Givry 71390 BUXY","46.71315","4.6952","Dépôt de Buxy"
"03.85.51.08.52","1","16","depot2.png","16","d7","ZI Les Joncs 71700 TOURNUS","46.55243","4.90544","Dépôt de Tournus"
"03.85.44.58.11","1","16","depot2.png","16","d8","Zone Artisanale 71640 GIVRY","46.78205","4.74582","Dépôt de Givry"
"03.85.45.33.65","1","16","depot2.png","16","d9","Route de Chagny 71510 SAINT-LEGER-SUR-DHEUNE","46.84668","4.63585","Dépôt de Saint-Lger-sur-Dheune"
"03.80.26.24.20","1","16","depot2.png","16","d10","Zone Industrielle 21420 SAVIGNY les BEAUNE","47.04493","4.8439","Dépôt de Savigny-les-Beaune"
"03.80.21.73.13","1","16","depot2.png","16","d11","Route de Beaune 21340 NOLAY","46.95233","4.63399","Dépôt de nolay"
"03.85.87.65.85","1","16","depot2.png","16","d12","ZI Des Noirots 71150 CHAGNY","46.90898","4.76434","Dépôt de Chagny"
"03.80.58.51.93","1","16","depot2.png","16","d13","4 RN74 21220 BROCHON","47.23923","4.96944","SARL PB REGNIER"
"03.80.20.11.24","1","16","depot2.png","16","d14","Route d'Arnay le Duc 21360 BLIGNY/OUCHE","47.10423","4.6712","Dépôt de Bligny-sur-Ouche"
"03.80.20.47.28","1","16","depot2.png","16","d15","Rue Mail 21250 SEURRE","46.99448","5.14906","Dépôt de Seurre"
"03.85.47.73.28","1","16","depot2.png","16","d16","13 rte de Mervans 71620 ST MARTIN EN BRESSE","46.81551","5.06735","Dépôt de Saint-Martin-en-Bresse"
"03.80.21.38.51","1","16","depot2.png","16","d17","Chemin Reuil - RN6 21190 CORPEAU","46.92471","4.74649","Dépôt de Corpeau"
"03.85.91.93.13","1","16","depot2.png","16","d18","6 av Prsident Borgeot 71350 VERDUN SUR LE DOUBS","46.89075","5.02488","Dépôt de verdun-sur-le-Doubs"
"03.85.76.23.75","1","16","depot2.png","16","d19","Bout d'Amont, Rte Louhans 71270 PIERRE DE BRESSE","46.88514","5.26114","Dépôt de Pierre de Bresse"
"03.85.72.33.44","1","16","depot2.png","16","d20","6 rte Mouthier 71270 BELLEVESVRE","46.84183","5.3625","Dépôt de Bellevesvre"
"03.85.32.29.76","1","16","depot2.png","16","d21","Les Bois Bernoux 71290 CUISERY","46.55806","4.98302","Dépôt de Cuisery"
"03.85.40.31.49","1","16","depot2.png","16","d22","ZI Les Benots 71470 ROMENAY","46.50309","5.06177","Dépôt de Romenay"
"03.85.40.20.74","1","16","depot2.png","16","d23","ZI Les Brls 71290 SIMANDRE","46.62209","4.98989","Dépôt de Simandre"
