"geometry__coordinates__001","geometry__coordinates__002","properties__adresseBtq","properties__adresseCompl","properties__adresseCp","properties__adresseLieuDit","properties__adresseNum","properties__adresseVille","properties__adresseVoie","properties__comentAprem","properties__comentMatin","properties__date","properties__description","properties__emailSite","properties__horaireApremDeb","properties__horaireApremFin","properties__horaireMatinDeb","properties__horaireMatinFin","properties__imageSiteExt","properties__imageSiteId","properties__imageSiteUrl","properties__imageUrl","properties__nameSite","properties__numFax","properties__numTel","properties__raisonSociale","properties__respSite","properties__siteId","properties__textAprem","properties__textMatin","properties__typeHoraireAprem","properties__typeHoraireMatin","properties__typeSite","properties__typeSiteId","type"
"2.5941772","48.14557","","Le Clos à Patron","77570","Route de Gironville","","MONDREVILLE","","","","23/07/2019","","","13:30","17:30","08:30","12:00","JPG","51","https://extranet.caproga.fr/media/image/NUM_51/Mondreville.jpg","/css/theme/images/carto/site_ouvert.png","Mondreville","","0164293366","C.A.PRO.GA. La Meunière","","14","De 13:30 à 17:30","De 08:30 à 12:00","1","1","Silo","2","Feature"
"2.8609087","48.34371","","","77250","La Grande Haie","","MONTARLOT","","","","23/07/2019","","","13:30","17:30","08:30","12:00","JPG","67","https://extranet.caproga.fr/media/image/NUM_67/Montarlot.jpg","/css/theme/images/carto/site_ouvert.png","Montarlot","","0672003223","C.A.PRO.GA. La Meunière","","23","De 13:30 à 17:30","De 08:30 à 12:00","1","1","Silo","2","Feature"
"2.811222","47.90229","","","45700","Rue des Céréaliers","","Montcresson","","","","23/07/2019","","","13:30","17:30","08:30","12:00","JPG","50","https://extranet.caproga.fr/media/image/NUM_50/Montcresson.jpg","/css/theme/images/carto/site_ouvert.png","Montcresson","0238942848","0238900160","C.A.PRO.GA. La Meunière","","10","De 13:30 à 17:30","De 08:30 à 12:00","1","1","Silo","2","Feature"
"2.7360022","47.848736","","","45290","Les Pagnolles","","NOGENT-SUR-VERNISSON","","","","23/07/2019","","","13:30","17:30","08:30","12:00","JPG","48","https://extranet.caproga.fr/media/image/NUM_48/Nogent.jpg","/css/theme/images/carto/site_ouvert.png","Nogent sur Vernisson","0238971921","0238976126","C.A.PRO.GA. La Meunière","","32","De 13:30 à 17:30","De 08:30 à 12:00","1","1","Silo","2","Feature"
"2.535131","47.903984","","","45260","Les Gravelines","","NOYERS","","","","23/07/2019","","","13:30","17:30","08:30","12:00","JPG","40","https://extranet.caproga.fr/media/image/NUM_40/Noyers.jpg","/css/theme/images/carto/site_ouvert.png","Noyers","0238940559","0238948678","C.A.PRO.GA. La Meunière","","30","De 13:30 à 17:30","De 08:30 à 12:00","1","1","Silo","2","Feature"
"2.5907006","47.641464","","","45500","Route d'Autry le Châtel","","POILLY-LEZ-GIEN","","","","23/07/2019","","","13:30","17:30","08:30","12:00","JPG","59","https://extranet.caproga.fr/media/image/NUM_59/Poilly.jpg","/css/theme/images/carto/site_ouvert.png","Poilly lez Gien","0238050602","0238050601","C.A.PRO.GA. La Meunière","","42","De 13:30 à 17:30","De 08:30 à 12:00","1","1","Silo","2","Feature"
"2.6765132","48.09138","","","45490","Les Hauts du Chesnoy","","PREFONTAINES","","","","23/07/2019","","","13:30","17:30","08:30","12:00","JPG","69","https://extranet.caproga.fr/media/image/NUM_69/Prefontaines.jpg","/css/theme/images/carto/site_ouvert.png","Préfontaines","","0238958394","C.A.PRO.GA. La Meunière","","17","De 13:30 à 17:30","De 08:30 à 12:00","1","1","Silo","2","Feature"
"2.8537495","47.722694","","","89220","Le Rondeau","","ROGNY-LES-SEPT-ECLUSES","","","","23/07/2019","","","13:30","17:30","08:30","12:00","JPG","42","https://extranet.caproga.fr/media/image/NUM_42/Rogny.jpg","/css/theme/images/carto/site_ouvert.png","Rogny","0386745669","0386745210","C.A.PRO.GA. La Meunière","","39","De 13:30 à 17:30","De 08:30 à 12:00","1","1","Silo","2","Feature"
"2.9419498","47.927372","","","45220","Zone Activite ru Charlot","","CHATEAU-RENARD","","","","23/07/2019","","","13:30","17:30","08:30","12:00","JPG","60","https://extranet.caproga.fr/media/image/NUM_60/Chateau-Renard-DAVID.jpg","/css/theme/images/carto/site_ouvert.png","DAVID - Château-Renard","0238285455","0238952039","S.A.S. DAVID","","50","De 13:30 à 17:30","De 08:30 à 12:00","1","1","Silo","2","Feature"
"3.117342","47.844536","","","89120","La Boisselle","","SAINT-MARTIN-SUR-OUANNE","","","","23/07/2019","","","13:30","17:30","08:30","12:00","JPG","47","https://extranet.caproga.fr/media/image/NUM_47/Saint-Martin.jpg","/css/theme/images/carto/site_ouvert.png","Saint Martin sur Ouanne","","0386916639","C.A.PRO.GA. La Meunière","","9","De 13:30 à 17:30","De 08:30 à 12:00","1","1","Silo","2","Feature"
