"siteId","lat","lng","adresseBtq","adresseCompl","adresseCp","adresseLieuDit","adresseNum","adresseVille","adresseVoie","emailSite","comentAprem","comentMatin","date","horaireApremDeb","horaireApremFin","horaireMatinDeb","horaireMatinFin","imageUrl","nameSite","numFax","numTel","textAprem","textMatin","typeHoraireAprem","typeHoraireMatin","typeSite","typeSiteId"
"561","48.669342","0.8490263","","","28340","","","Rohaire","Le Perthuis","silorohaire@natup.coop","","","24/07/2019","","","","","fermé","ROHAIRE - (Dépôt Appro Collecte)","0237375701","0237376748","Fermé","Fermé","2","2","Dépôt Appro Collecte","3"
"377","49.406826","0.5550012","","","27680","","","SAINT THURIEN","34, rue route du Clos du Bo","stthurien@natup.coop","","","24/07/2019","","","","","fermé","Saint Thurien - (Dépôt Collecte Moisson)","0232427841","0232420851","Fermé","Fermé","2","2","Dépôt Collecte Moisson","5"
"366","49.07283","0.5159139","","","27300","","","SAINT VICTOR DE CHRETIENVILLE","La Mare Auger","stvictor@natup.coop","","","24/07/2019","13:30","17:00","08:30","12:00","ouvert","Saint Victor de Chretienville - (Dépôt Appro Collecte)","0232448949","0232442008","De 13:30 à 17:00","De 08:30 à 12:00","1","1","Dépôt Appro Collecte","3"
"977","49.566433","1.2966353","","","76750","","","Vieux-Manoir","ZA DE LA GARE","easycoop@natup.coop","","","24/07/2019","13:00","18:00","08:00","13:00","ouvert","EASYCOOP - (Plate-forme)","","","De 13:00 à 18:00","De 08:00 à 13:00","1","1","Plate-forme","14"
"323","49.020576","0.9796699","","","27190","","","FERRIERES HAUT CLOCHER","Rue Barette","ferrieres@natup.coop","","","24/07/2019","","","","","rdv","Ferrières - (Dépôt Collecte Engrais)","0232348569","0232349903","Sur Rendez-vous","Sur Rendez-vous","3","3","Dépôt Collecte Engrais","4"
"396","48.73862","0.92723274","","","27130","","","VERNEUIL SUR AVRE ","Rue des Frères Lumière","siloverneuil@natup.coop","","","24/07/2019","13:30","17:00","08:30","12:00","ouvert","VERNEUIL SUR AVRE - (Centre administratif annexe)","0232374107","0232320154","De 13:30 à 17:00","De 08:30 à 12:00","1","1","Centre administratif annexe","2"
"395","48.716053","0.70911276","","","61300","","","VITRAI SOUS L AIGLE","La Cheronnerie","silovitrai@natup.coop","","","24/07/2019","13:30","17:00","08:30","12:00","ouvert","VITRAI - (Dépôt Appro Collecte)","0233344576","0233343065","De 13:30 à 17:00","De 08:30 à 12:00","1","1","Dépôt Appro Collecte","3"
"318","48.908043","0.7467159","","","27330","","","LA VIEILLE LYRE","16, rue du Vieux Poirier","neuvelyre@natup.coop","","","24/07/2019","13:30","17:00","08:30","12:00","ouvert","La Vieille Lyre - (Dépôt Appro Collecte)","0232309018","0232305037","De 13:30 à 17:00","De 08:30 à 12:00","1","1","Dépôt Appro Collecte","3"
"336","48.94951","0.62534326","","","27330","","","GISAY LA COUDRE","Les Rues","gisay@natup.coop","","","24/07/2019","13:30","17:00","08:30","12:00","ouvert","Gisay la Coudre - (Dépôt Appro Collecte)","0232453941","0232443877","De 13:30 à 17:00","De 08:30 à 12:00","1","1","Dépôt Appro Collecte","3"
"359","49.039856","0.6578958","","","27410","","","GRANDCHAIN","Plaine du Breuil","grandchain@natup.coop","","","24/07/2019","13:30","17:00","08:30","12:00","ouvert","Grandchain - (Dépôt Appro Collecte)","0232440080","0232444403","De 13:30 à 17:00","De 08:30 à 12:00","1","1","Dépôt Appro Collecte","3"
