"|","|__address","|__anim","|__category","|__desc","|__icon","|__infoopen","|__lat","|__linkd","|__lng","|__map_id","|__marker_id","|__other_data__-","|__pic","|__retina","|__title"
"10","43 RUE PRINCIPALE 62770 SAINT GEORGES","0","2","<div class=""gm-style-iw""><div><div><div><div><u>Type :</u> Appro / Collecte<br /><u>Téléphone :</u> 03 21 04 84 74<br /><u>Responsable de site :</u> REMY THERY</div></div></div></div></div>","http://www.groupe-carre.fr/wp-content/uploads/2017/06/depart_appro.png","0","50.3581183","","2.0801068","1","10","","","0","SAINT GEORGES"
"11","ROUTE DE BEAUVOIS 62130 OEUF EN TERNOIS","0","2","<p><u>Type :</u> Appro / Collecte<br /><u>Téléphone :</u> 03 21 41 54 30<br /><u>Responsable de site :</u> ARNAUD DUEZ</p>","http://www.groupe-carre.fr/wp-content/uploads/2017/06/depart_appro.png","0","50.3632662","","2.2215072","1","11","","","0","OEUF-EN-TERNOIS"
"12","RUE DE BOULOGNE 62960 BEAUMETZ LES AIRES","0","2","<p><u>Type :</u> Appro / Collecte<br /><u>Téléphone :</u> 03 21 38 00 95<br /><u>Responsable de site :</u> PIERRE HEDIN</p>","http://www.groupe-carre.fr/wp-content/uploads/2017/06/depart_appro.png","0","50.532993","","2.252475","1","12","0","","0","BEAUMETZ-LES-AIRES"
"13","27 RUE DE ST POL 62550 PRESSY LES PERNES","0","2","<p><u>Type :</u> Appro / Collecte<br /><u>Téléphone :</u> 03 21 04 72 52<br /><u>Responsable de site :</u> HUBERT LABITTE</p>","http://www.groupe-carre.fr/wp-content/uploads/2017/06/depart_appro.png","0","50.4772267","","2.4092019","1","13","","","0","PRESSY-LES-PERNES"
"14","RUE DE PONCHES 80150 LIGESCOURT","0","1","<div class=""gm-style-iw""><div><div><div><div><u>Type :</u> Collecte<br /><u>Téléphone :</u> 03 22 23 50 76<br /><u>Responsable de site :</u> DAMIEN MALINGUE</div></div></div></div></div>","http://www.groupe-carre.fr/wp-content/uploads/2017/06/depart_collecte.png","0","50.290441","","1.878882","1","14","0","","0","LIGESCOURT"
"15","RUE CONCOGNE 62870 DELETTES","0","1","<div> <u>Type :</u> Collecte<br /><u>Téléphone :</u> 03 21 93 24 24<br /><u>Responsable de site :</u> BAPTISTE LECAILLE</div>","http://www.groupe-carre.fr/wp-content/uploads/2017/06/depart_collecte.png","0","50.6150332","","2.2133851","1","15","","","0","DELETTES"
"16","RUE DE ST POL 62134 MONCHY CAYEUX","0","1","<div><u>Type :</u> Collecte<br /><u>Téléphone :</u> 06 31 45 25 00<br /><u>Responsable de site :</u> ARNAUD DUEZ</div>","http://www.groupe-carre.fr/wp-content/uploads/2017/06/depart_collecte.png","0","50.4437038","","2.2616376","1","16","","","0","MONCHY CAYEUX"
"17","RUE D'EN HAUT 80135 MILLENCOURT EN PONTHIEU","0","1","<p><u>Type :</u> Collecte<br /><u>Téléphone :</u> 06 32 91 27 09<br /><u>Responsable de site :</u> SEBASTIEN PLE</p>","http://www.groupe-carre.fr/wp-content/uploads/2017/06/depart_collecte.png","0","50.150049","","1.905424","1","17","0","","0","MILLENCOURT EN PONTHIEU"
"19","ROUTE DE BETHONSART 62690 VILLERS BRULIN","0","1","<div><u>Type :</u> Collecte<br /><u>Téléphone :</u> 06 30 44 79 63<br /><u>Responsable de site :</u> FREDERIC ROPITAL</div>","http://www.groupe-carre.fr/wp-content/uploads/2017/06/depart_collecte.png","0","50.367763","","2.542369","1","19","0","","0","VILLERS BRULIN"
"2","62630 HUBERSENT","0","1","<div><b>HUBERSENT</b><br /><u>Type :</u> Collecte<br />LE MOULIN 62630 HUBERSENT<br /><u>Téléphone :</u> 03 21 86 73 73-06 07 86 32 06<br /><u>Responsable de site :</u> DAMIEN MALINGUE</div>","http://www.groupe-carre.fr/wp-content/uploads/2017/06/depart_collecte.png","0","50.581023","","1.724252","1","2","0","","0","HUBERSENT"
