"id","lat","lng","address","city","cp","description","icon","mail","name","tel","url"
"3","47.451551","5.578926"," Avenue des Parcs","Arc-lès-Gray","70100","Gray Bassin","https://www.interval.coop/images/icons/icon-map-interval.png","gray@interval.coop","Gray Bassin","0384651076","/component/mymaplocations/gray.html"
"4","47.456818","5.598071","Rue des Giranaux","Arc-lès-Gray","70100","Arc-les-Gray Siège social","https://www.interval.coop/images/icons/icon-map-interval.png","","Arc-les-Gray Siège social","03 84 64 73 00","/component/mymaplocations/arc-les-gray-siège-social.html"
"5","47.456713","5.598984","Rue des Giranaux","Arc-lès-Gray","70100","Gray ZI","https://www.interval.coop/images/icons/icon-map-interval.png","","Gray ZI","03 84 64 80 55","/component/mymaplocations/gray-zi.html"
"6","47.550191","6.445237","200 Rue de la Varvotte","Villersexel","70110","Villersexel","https://www.interval.coop/images/icons/icon-map-interval.png","villersexel@interval.coop","Villersexel","03 84 63 45 91","/component/mymaplocations/villersexel.html"
"7","47.690355","6.110219","Rue de la la Marnière","Bougnon","70170","Bougnon","https://www.interval.coop/images/icons/icon-map-interval.png","bougnon@interval.coop","Bougnon","","/component/mymaplocations/bougnon.html"
"8","47.551992","6.919885","Zone Industrielle","Bourogne","90140","Bourogne","https://www.interval.coop/images/icons/icon-map-interval.png","bourogne@interval.coop","Bourogne","03 84 27 82 89","/component/mymaplocations/bourogne.html"
"9","47.437858","6.213091","Rue de la Gare","Loulans-Verchamp","70230","Loulans Verchamps","https://www.interval.coop/images/icons/icon-map-interval.png","cenans@interval.coop","Loulans Verchamps","03 84 68 32 33","/component/mymaplocations/loulans-verchamps.html"
"10","47.673401","6.515508","ZAC La Saline","Lure","70200","Lure","https://www.interval.coop/images/icons/icon-map-interval.png","lure@interval.coop","Lure","03 84 62 75 51","/component/mymaplocations/lure.html"
"11","47.8102","6.112916","Route de Cubry-les-Faverney","Menoux","70160","Menoux","https://www.interval.coop/images/icons/icon-map-interval.png","menoux@interval.coop","Menoux","03 84 91 12 25","/component/mymaplocations/menoux.html"
"12","47.425774","6.083538","9012A Zone d'activité industrielle","Rioz","70190","Rioz","https://www.interval.coop/images/icons/icon-map-interval.png","rioz@interval;coop","Rioz","03 84 91 91 91","/component/mymaplocations/rioz.html"
