"categories","name","address","city","tel","fax","link","lat","lng"
"41","Terranimo ​Vannes","Zone de Luscanen
24 Avenue Louis de Cadoudal","56880 PLOEREN","","","https://www.triskalia.fr/nos-enseignes-et-magasins/terranimo-%e2%80%8bvannes/","47.6640252","-2.8000727999999526"
"41","Terranimo Lorient","Zone de Keryado
Rue Pierre Mendes France
Face Carrefour","56100 LORIENT","","","https://www.triskalia.fr/nos-enseignes-et-magasins/terranimo-lorient/","47.7652654","-3.3939156999999796"
"34","LES JARDINS DU LEGUER","Saint-Marc","22300 LANNION","Téléphone : 02.96.14.10.60","Fax : 02.96.37.48.14","https://www.triskalia.fr/nos-enseignes-et-magasins/les-jardins-du-leguer/","48.73510964907869","-3.4353862184937043"
"6","POINT VERT MONTAUBAN DE BRETAGNE","56, route de Rennes","35360 MONTAUBAN DE BRETAGNE","Téléphone : 02.99.06.66.97","Fax : 02.99.06.66.98","https://www.triskalia.fr/nos-enseignes-et-magasins/maison-point-vert-montauban-de-bretagne/","48.1982125","-2.0463153000000602"
"7","Point Vert Le Jardin CARHAIX","La rocade","29270 CARHAIX","Téléphone : 02.98.93.30.12","Fax : 02.98.93.00.59","https://www.triskalia.fr/nos-enseignes-et-magasins/point-vert-jardin-carhaix-2/","48.27171129427519","-3.572359085083008"
"31","Triskalia VIEUX BOURG","Rue St Gilles","22800 LE VIEUX BOURG","Téléphone : 02.96.32.40.17","Fax : 02.96.92.74.34","https://www.triskalia.fr/nos-enseignes-et-magasins/triskalia-vieux-bourg/","48.3899908","-3.00931479999997"
"31","Triskalia UZEL","La Gare  St Hervé","22460 UZEL","Téléphone : 02.96.28.81.91","Fax : 02.96.28.86.98","https://www.triskalia.fr/nos-enseignes-et-magasins/triskalia-uzel/","48.2805431","-2.836535300000037"
"31","Triskalia TRINITE PORHOET","9 rue Mme de Sévigné","56490 LA TRINITE PORHOET","Téléphone : 02.97.93.90.68","Fax : 02.97.74.00.82","https://www.triskalia.fr/nos-enseignes-et-magasins/triskalia-trinite-porhoet/","48.0942471","-2.5452397999999903"
"31","Triskalia TREFFENDEL","Gare ","35380 TREFFENDEL","Téléphone : 02.99.61.00.75","Fax : 02.99.61.04.04","https://www.triskalia.fr/nos-enseignes-et-magasins/triskalia-treffendel/","48.026703","-2.015742899999964"
"31","Triskalia TAULE","Gare","29670  TAULE","Téléphone : 02.98.67.11.01","Fax : 02.98.79.00.73","https://www.triskalia.fr/nos-enseignes-et-magasins/triskalia-taule/","48.6185986","-3.9022979999999734"
"31","Triskalia TADEN","12  La Mettrie","22100 TADEN","Téléphone : 02.96.85.16.27","Fax : 02.96.87.02.96","https://www.triskalia.fr/nos-enseignes-et-magasins/triskalia-taden/","48.4892897","-2.0676191999999673"
"31","Triskalia STE SEVE","Z.A. de Coat Conval","29600 STE SEVE","Téléphone : 02.98.88.04.83","Fax : 02.98.63.42.61","https://www.triskalia.fr/nos-enseignes-et-magasins/triskalia-ste-seve/","48.5494782","-3.8766792000000123"
"31","Triskalia ST POL HORTALIS","Z.I. de kerannou","29250 ST POL DE LEON","Téléphone : 02.98.69.02.78","Fax : 02.98.69.17.28","https://www.triskalia.fr/nos-enseignes-et-magasins/triskalia-st-pol-hortalis/","48.672174","-4.007047999999941"
"31","Triskalia ST JUVAT","La Landelle","22630 SAINT JUVAT","Téléphone : 02.96.83.46.80","Fax : 02.96.83.49.52","https://www.triskalia.fr/nos-enseignes-et-magasins/triskalia-st-juvat/","48.3710364","-2.044636399999945"
"31","Triskalia ST JEAN BREVELAY","Rue Croix des Victimes","56660 SAINT JEAN BREVELAY","Téléphone : 02.97.60.30.30","Fax : 02.97.60.46.93","https://www.triskalia.fr/nos-enseignes-et-magasins/triskalia-st-jean-brevelay/","47.8503783","-2.7270029000000022"
"31","Triskalia ST GERAND","Le Bois","56920 ST GERAND","Téléphone : 02.97.51.40.25","Fax : 02.97.51.45.00","https://www.triskalia.fr/nos-enseignes-et-magasins/triskalia-st-gerand/","48.11057","-2.891397600000005"
